Llama3.1-8B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
,voyager-glove,0.9875,0.9375,,0.4000,0.9750,,,,
,generative,0.9875,0.7500,,0.6250,0.5000,,,,
,generative-glove,0.9875,0.7500,,0.6250,0.9250,,,,

Grok-3,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.2000,0.0500,0.1500,0.0000,0.0000,0.0500,,,
,vanilla,0.8500,0.0000,0.0000,0.8500,0.0000,0.0000,,,
,vanilla-glove,0.8875,0.8000,0.9500,0.7500,0.8500,0.8000,,,
,memorybank,0.8750,0.3500,0.2500,0.9000,0.9500,0.0000,,,
,memorybank-glove,0.8500,0.8875,0.8375,0.9000,0.8500,0.8500,,,
,voyager,0.8500,0.0000,0.0000,0.7500,0.0000,0.0000,,,
,voyager-glove,0.8375,0.8875,0.9250,0.9000,0.9000,0.8000,,,
,generative,0.7625,0.0000,0.0000,0.9000,0.9000,0.0000,,,
,generative-glove,0.7750,0.7000,0.7875,0.9000,0.8000,0.8500,,,
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.7625,,,0.0000,0.0000,,,,
,vanilla,0.9625,,,0.3000,0.9000,,,,
,vanilla-glove,0.9750,,,0.3000,1.0000,,,,
,memorybank,0.9750,,,0.1500,0.8250,,,,
,memorybank-glove,0.8875,,,0.2000,0.9750,,,,
,voyager,0.9875,,,0.6250,0.5000,,,,
,voyager-glove,1.0000,,,0.2750,1.0000,,,,
,generative,0.9250,,,0.3500,0.5000,,,,
,generative-glove,0.9375,,,0.5750,0.9750,,,,

DeepSeek-R1,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.3500,0.0000,0.3500,0.0000,0.0000,0.3000,,,
,vanilla,0.8750,0.0000,0.0000,0.8000,0.0000,0.0000,,,
,vanilla-glove,1.0000,0.8500,0.8875,0.8500,0.9000,0.8500,,,
,memorybank,0.8875,0.3500,0.3250,0.8500,0.0000,0.0000,,,
,memorybank-glove,0.8000,0.6000,0.8125,0.8000,0.9000,0.9000,,,
,voyager,0.9875,0.0000,0.0000,0.8500,0.8500,0.0000,,,
,voyager-glove,0.4500,0.5125,0.5125,0.8000,0.8500,0.8500,,,
,generative,0.9000,0.0000,0.0000,,,,,,
,generative-glove,0.8500,0.8000,0.9000,0.8000,0.9000,0.8500,,,
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.7375,,,0.0250,0.0000,,,,
,vanilla,0.9750,,,0.5750,0.5000,,,,
,vanilla-glove,0.9250,,,0.6750,0.8750,,,,
,memorybank,0.9750,,,0.5000,0.5750,,,,
,memorybank-glove,0.9750,,,0.6750,0.9750,,,,
,voyager,0.9750,,,0.2500,1.0000,,,,
,voyager-glove,0.9750,,,0.6250,0.8750,,,,
,generative,0.9625,,,0.6250,0.5000,,,,
,generative-glove,0.9625,,,0.6750,0.8750,,,,

